Year_of_Release,Genre,Number_of_Games
2008,Fighting,605
2008,Misc,960
2008,Platform,717
2008,Puzzle,386
2008,Racing,929
2008,Role-Playing,831
2008,Shooter,817
2008,Simulation,526
2008,Sports,1600
2008,Strategy,447
2009,Action,1878
2009,Adventure,743
2009,Fighting,660
2009,Misc,1178
2009,Platform,749
2009,Puzzle,466
2009,Racing,1016
2009,Role-Playing,936
2009,Shooter,915
2009,Simulation,653
2009,Sports,1790
2009,Strategy,512
2010,Action,2105
2010,Adventure,896
2010,Fighting,701
2010,Misc,1384
2010,Platform,780
2010,Puzzle,509
2010,Racing,1073
2010,Role-Playing,1042
2010,Shooter,998
2010,Simulation,734
2010,Sports,1978
2010,Strategy,565
2011,Action,2365
2011,Adventure,1007
2011,Fighting,753
2011,Misc,1578
2011,Platform,818
2011,Puzzle,554
2011,Racing,1149
2011,Role-Playing,1142
2011,Shooter,1105
2011,Simulation,799
2011,Sports,2109
2011,Strategy,617
2012,Action,2633
2012,Adventure,1065
2012,Fighting,783
2012,Misc,1617
2012,Platform,829
2012,Puzzle,565
2012,Racing,1179
2012,Role-Playing,1220
2012,Shooter,1153
2012,Simulation,817
2012,Sports,2164
2012,Strategy,633
2013,Action,2781
2013,Adventure,1126
2013,Fighting,803
2013,Misc,1659
2013,Platform,865
2013,Puzzle,568
2013,Racing,1195
2013,Role-Playing,1291
2013,Shooter,1215
2013,Simulation,835
2013,Sports,2217
2013,Strategy,652
2014,Action,2973
2014,Adventure,1203
2014,Fighting,826
2014,Misc,1702
2014,Platform,876
2014,Puzzle,575
2014,Racing,1224
2014,Role-Playing,1380
2014,Shooter,1265
2014,Simulation,846
2014,Sports,2272
2014,Strategy,660
2015,Action,3228
2015,Adventure,1257
2015,Fighting,847
2015,Misc,1741
2015,Platform,889
2015,Puzzle,581
2015,Racing,1242
2015,Role-Playing,1461
2015,Shooter,1300
2015,Simulation,861
2015,Sports,2332
2015,Strategy,676
2016,Action,3409
2016,Adventure,1313
2016,Fighting,863
2016,Misc,1773
2016,Platform,904
2016,Puzzle,582
2016,Racing,1266
2016,Role-Playing,1517
2016,Shooter,1347
2016,Simulation,879
2016,Sports,2380
2016,Strategy,689
