Country Name,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Tests,Population
Algeria,118645,3134.0,82704.0,32807.0,230861.0,44465491
Estonia,115080,1049.0,96844.0,17187.0,1204118.0,1327232
S. Korea,110688,1775.0,101332.0,7581.0,8200519.0,51303652
Latvia,108355,2002.0,99324.0,7029.0,2049958.0,1869845
Norway,104269,687.0,88952.0,14630.0,4878675.0,5454272
Sri Lanka,95394,598.0,91775.0,3021.0,2374627.0,21483302
Montenegro,94419,1381.0,88834.0,4204.0,353329.0,628128
Ghana,91260,754.0,89092.0,1414.0,1025654.0,31575645
Kyrgyzstan,90599,1532.0,86152.0,2915.0,908302.0,6607775
Zambia,90064,1227.0,88077.0,760.0,1308716.0,18781755
Cuba,87385,467.0,81900.0,5018.0,3235144.0,11321213
Uzbekistan,85291,634.0,83089.0,1568.0,1377915.0,33846159
Finland,82564,874.0,46000.0,35690.0,4182779.0,5547442
Mozambique,68792,791.0,59401.0,8600.0,496890.0,31932011
El Salvador,66657,2054.0,63072.0,1531.0,873873.0,6511733
Luxembourg,63880,772.0,59988.0,3120.0,2510240.0,633887
Cameroon,61731,919.0,56926.0,3886.0,1257949.0,27057111
Singapore,60692,30.0,60357.0,305.0,8789647.0,5886193
Afghanistan,57492,2532.0,52013.0,2947.0,374076.0,39607351
Cyprus,52033,273.0,39061.0,12699.0,4001418.0,1214209
Namibia,45787,575.0,43721.0,1491.0,363659.0,2576611
Ivory Coast,45227,268.0,44683.0,276.0,557294.0,26883682
Botswana,43444,663.0,38923.0,3858.0,958802.0,2388438
Jamaica,42763,676.0,19017.0,23070.0,305709.0,2971251
Uganda,41174,337.0,40779.0,58.0,969637.0,46855361
Senegal,39465,1079.0,38215.0,171.0,455488.0,17085094
Zimbabwe,37307,1542.0,34901.0,864.0,394257.0,15031062
Thailand,34575,97.0,28288.0,6190.0,8124896.0,69936717
Malawi,33859,1132.0,31572.0,1155.0,224636.0,19512250
Sudan,30111,2063.0,24214.0,3834.0,232965.0,44641909
Malta,29661,402.0,28706.0,553.0,834763.0,442461
Australia,29426,910.0,26361.0,2155.0,16161532.0,25730082
DRC,28542,745.0,25841.0,1956.0,143197.0,91662959
Madagascar,28541,506.0,24105.0,3930.0,155563.0,28241598
Maldives,25701,67.0,22796.0,2838.0,670883.0,547933
Angola,23549,554.0,22093.0,902.0,443086.0,33655110
Rwanda,23535,316.0,21272.0,1947.0,1224739.0,13200639
Guinea,21106,136.0,18686.0,2284.0,416078.0,13408133
Gabon,20971,129.0,17762.0,3080.0,669004.0,2266390
Syria,20331,1385.0,14122.0,4824.0,103566.0,17829667
Mayotte,19706,167.0,2964.0,16575.0,165683.0,277909
Cabo Verde,19110,184.0,17399.0,1527.0,136977.0,560687
French Polynesia,18666,141.0,4842.0,13683.0,26355.0,282174
Eswatini,18393,669.0,17682.0,42.0,173720.0,1169515
Mauritania,18035,450.0,17373.0,212.0,215922.0,4744159
French Guiana,17706,94.0,9995.0,7617.0,171169.0,304669
Réunion,17508,123.0,16011.0,1374.0,100098.0,900292
Mongolia,16603,27.0,9887.0,6689.0,2492932.0,3319290
Tajikistan,13308,90.0,13218.0,0.0,844275.5,9703563
Burkina Faso,12989,153.0,12627.0,209.0,175352.0,21346254
Haiti,12855,251.0,11513.0,1091.0,60085.0,11510653
Andorra,12581,121.0,11890.0,570.0,193595.0,77362
Somalia,12566,618.0,5270.0,6678.0,100631.0,16235833
Belize,12503,318.0,12134.0,51.0,106371.0,403229
Guadeloupe,12140,174.0,2242.0,9724.0,159029.0,400177
Togo,12034,116.0,9303.0,2615.0,292368.0,8428939
Mali,12002,414.0,7166.0,4422.0,243860.0,20701344
Hong Kong,11608,207.0,11227.0,174.0,11193673.0,7544369
Curaçao,11385,68.0,6845.0,4472.0,85247.0,164617
Guyana,11189,257.0,9751.0,1181.0,99746.0,789513
Lesotho,10709,315.0,5028.0,5366.0,71629.0,2155481
South Sudan,10381,114.0,10148.0,119.0,139846.0,11295828
Congo,10084,137.0,8208.0,1739.0,92500.0,5623185
Aruba,10076,92.0,9468.0,516.0,136656.0,107120
Djibouti,9975,100.0,8184.0,1691.0,140642.0,999165
Bahamas,9460,190.0,8865.0,405.0,80573.0,396170
Suriname,9316,182.0,8700.0,434.0,46195.0,590726
Martinique,9028,57.0,98.0,8873.0,133358.0,375038
Papua New Guinea,8821,69.0,846.0,7906.0,70260.0,9078488
Trinidad and Tobago,8441,146.0,7775.0,520.0,117847.0,1403025
Benin,7515,93.0,6452.0,970.0,548484.0,12368739
Equatorial Guinea,7219,106.0,6799.0,314.0,115364.0,1438522
Nicaragua,6727,179.0,4225.0,2323.0,844275.5,6685869
Iceland,6267,29.0,6140.0,98.0,562645.0,342969
Gambia,5602,168.0,5145.0,289.0,59297.0,2469123
CAR,5491,74.0,5056.0,361.0,40907.0,4894947
Yemen,5446,1068.0,2059.0,2319.0,22934.0,30334834
Niger,5081,189.0,4760.0,132.0,93751.0,24881206
San Marino,4962,86.0,4510.0,366.0,56114.0,33987
Cambodia,4696,33.0,2252.0,2411.0,782811.0,16898828
Chad,4641,167.0,4298.0,176.0,110863.0,16789929
Seychelles,4444,25.0,4161.0,258.0,21504.0,98822
Saint Lucia,4355,64.0,4179.0,112.0,37758.0,184282
Gibraltar,4277,94.0,4181.0,2.0,219808.0,33683
Channel Islands,4051,86.0,3956.0,9.0,399901.0,175111
Sierra Leone,4008,79.0,2831.0,1098.0,118332.0,8102739
Comoros,3789,146.0,3577.0,66.0,844275.5,883955
Barbados,3734,44.0,3613.0,77.0,146355.0,287650
Guinea-Bissau,3680,66.0,3069.0,545.0,60281.0,2004008
Eritrea,3466,10.0,3196.0,260.0,23693.0,3584575
Burundi,3154,6.0,773.0,2375.0,90019.0,12164194
Liechtenstein,2754,56.0,2625.0,73.0,32252.0,38213
Vietnam,2707,35.0,2445.0,227.0,2598753.0,98020700
New Zealand,2587,26.0,2459.0,102.0,1948223.0,5002100
Monaco,2377,31.0,2247.0,99.0,51953.0,39459
Turks and Caicos,2357,17.0,2283.0,57.0,41059.0,39124
Sao Tome and Principe,2267,35.0,2188.0,44.0,12597.0,222316
Sint Maarten,2185,27.0,2118.0,40.0,25304.0,43255
Liberia,2042,85.0,1899.0,58.0,79684.0,5149709
Bermuda,1891,16.0,998.0,877.0,217688.0,62098
St. Vincent Grenadines,1806,10.0,1665.0,131.0,43985.0,111215
Saint Martin,1693,12.0,1399.0,282.0,26385.0,39178
Isle of Man,1574,29.0,1445.0,100.0,44761.0,85384
Caribbean Netherlands,1519,14.0,1396.0,109.0,10011.0,26413
Antigua and Barbuda,1198,30.0,938.0,230.0,16493.0,98561
Mauritius,1197,15.0,797.0,385.0,358675.0,1273416
Taiwan,1062,11.0,1027.0,24.0,513203.0,23850438
Timor-Leste,1046,1.0,550.0,495.0,50556.0,1337923
Bhutan,921,1.0,875.0,45.0,652722.0,778220
St. Barth,907,1.0,462.0,444.0,26385.0,9901
Faeroe Islands,661,1.0,660.0,0.0,246793.0,49008
Cayman Islands,516,2.0,487.0,27.0,84802.0,66322
Tanzania,509,21.0,183.0,305.0,844275.5,61048540
Wallis and Futuna,437,5.0,44.0,388.0,1331.0,11084
Brunei ,219,3.0,206.0,10.0,116596.0,440741
British Virgin Islands,178,1.0,159.0,18.0,13223.0,30388
Dominica,165,763.0,159.0,6.0,13500.0,72126
Grenada,155,1.0,152.0,2.0,23989.0,112930
New Caledonia,121,763.0,58.0,63.0,29182.0,287635
Fiji,68,2.0,64.0,2.0,40300.0,901508
Falkland Islands,60,763.0,54.0,6.0,7165.0,3558
Laos,52,763.0,49.0,3.0,143481.0,7357605
Macao,49,763.0,48.0,1.0,4418.0,656216
Saint Kitts and Nevis,44,763.0,44.0,0.0,12381.0,53492
Greenland,31,763.0,31.0,0.0,20669.0,56847
Vatican City,27,763.0,15.0,12.0,844275.5,803
Anguilla,25,763.0,22.0,3.0,14579.0,15107
Saint Pierre Miquelon,24,763.0,24.0,0.0,5126.0,5772
Montserrat,20,1.0,19.0,0.0,1313.0,4994
Solomon Islands,19,763.0,18.0,1.0,4500.0,699918
Western Sahara,10,1.0,8.0,1.0,844275.5,608703
Marshall Islands,4,763.0,4.0,0.0,844275.5,59501
Samoa,3,763.0,2.0,1.0,844275.5,199442
Vanuatu,3,763.0,1.0,2.0,470.0,312702
Micronesia,1,763.0,1.0,0.0,844275.5,115962
China,90435,4636.0,85506.0,293.0,160000000.0,1439323776
