Total Population,Female Population,Male Population,Birth Rate,Death Rate,Male life expectancy,Female life expectancy,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Literacy rate,Year,Country
295516599.0,149946323.0,145570277.0,14.0,8.3,75.0,80.1,101.8740234375,80.6348266601563,None,None,2005,USA
292805298.0,148594732.0,144210567.0,14.0,8.2,75.0,80.1,None,None,None,None,2004,USA
290107933.0,147242226.0,142865707.0,14.1,8.4,74.5,79.7,None,None,None,None,2003,USA
287625193.0,145972802.0,141652391.0,14.0,8.5,74.4,79.6,None,None,None,None,2002,USA
284968955.0,144625822.0,140343133.0,14.1,8.5,74.3,79.5,None,None,None,None,2001,USA
282162411.0,143251716.0,138910694.0,14.4,8.5,74.1,79.3,None,None,None,None,2000,USA
1417173173.0,685992675.0,731180498.0,None,None,None,None,None,None,None,None,2022,IND
1407563842.0,681060412.0,726503429.0,16.419,9.448,65.756,68.886,102.051307678223,31.3036403656006,97.3657073974609,None,2021,IND
1396387127.0,675389679.0,720997448.0,16.572,7.35,68.615,71.824,99.9004592895508,29.4413261413574,94.5591354370117,None,2020,IND
1383112050.0,668786993.0,714325057.0,17.049,6.71,69.525,72.395,96.8286819458008,28.5728988647461,91.661491394043,None,2019,IND
1369003306.0,661854076.0,707149230.0,17.651,6.644,69.367,72.142,97.3514251708984,28.0605525970459,None,91.6640396118164,2018,IND
1354195680.0,654607791.0,699587889.0,17.911,6.593,69.159,71.856,97.6424331665039,27.4421348571777,94.3737487792969,None,2017,IND
1338636340.0,647012921.0,691623419.0,18.514,6.603,68.81,71.503,99.4252395629883,26.8292198181152,96.2306976318359,None,2016,IND
1322866505.0,639323292.0,683543213.0,18.765,6.67,68.285,71.077,100.11302947998,26.7689933776855,97.7113189697266,None,2015,IND
1307246509.0,631697152.0,675549357.0,19.049,6.79,67.651,70.602,100.104110717773,25.4321250915527,97.5711212158203,None,2014,IND
1291132063.0,623809180.0,667322883.0,19.935,6.96,66.961,70.083,103.445571899414,23.7947120666504,96.2008895874023,None,2013,IND
1274487215.0,615647779.0,658839435.0,20.421,7.118,66.324,69.592,109.761299133301,24.2679805755615,None,None,2012,IND
1257621191.0,607376801.0,650244390.0,20.945,7.267,65.765,69.106,106.412521362305,22.7646446228027,92.7633590698242,86.1448822021484,2011,IND
1240613620.0,599047591.0,641566029.0,21.438,7.385,65.327,68.645,109.101371765137,17.8338851928711,None,None,2010,IND
1223640160.0,590747758.0,632892402.0,21.934,7.479,64.962,68.215,109.451072692871,16.0309295654297,95.7462921142578,None,2009,IND
1206734806.0,582492785.0,624242020.0,22.276,7.558,64.654,67.786,110.697380065918,15.0472097396851,94.7575836181641,None,2008,IND
1189691809.0,574185530.0,615506279.0,22.713,7.642,64.365,67.342,110.020118713379,13.1266803741455,None,None,2007,IND
1172373788.0,565762395.0,606611392.0,23.22,7.743,64.053,66.891,None,11.4863595962524,None,81.130859375,2006,IND
1154638713.0,557161047.0,597477666.0,23.94,7.876,63.719,66.379,None,10.6796398162842,None,None,2005,IND
1136264583.0,548274218.0,587990365.0,24.728,8.04,63.313,65.831,None,10.9332103729248,None,None,2004,IND
1117415123.0,539178882.0,578236241.0,25.375,8.188,62.981,65.287,102.682907104492,10.6253700256348,80.0443801879883,None,2003,IND
1098313039.0,529978166.0,568334873.0,26.082,8.363,62.573,64.729,94.7455291748047,10.176420211792,75.5600662231445,None,2002,IND
1078970907.0,520679574.0,558291332.0,26.728,8.558,62.114,64.131,94.1149291992188,9.69449996948242,72.1695404052734,76.4256973266602,2001,IND
1059633675.0,511410095.0,548223581.0,27.001,8.701,61.754,63.639,94.2711181640625,9.50872039794922,71.4861068725586,None,2000,IND
1412175000.0,691528501.0,720646499.0,None,None,None,None,None,None,None,None,2022,CHN
1412360000.0,691219627.0,721140373.0,7.52,7.18,75.463,81.155,104.123260498047,63.6019592285156,None,None,2021,CHN
1411100000.0,690171848.0,720928153.0,8.52,7.07,75.305,81.058,103.173957824707,58.4201011657715,None,99.8099975585938,2020,CHN
1407745000.0,688179990.0,719565010.0,10.41,7.09,75.298,80.816,101.925720214844,53.7649116516113,None,None,2019,CHN
1402760000.0,685468978.0,717291023.0,10.86,7.08,75.046,80.637,100.222747802734,50.6044387817383,None,99.7835998535156,2018,CHN
1396215000.0,682006802.0,714208198.0,12.64,7.06,74.433,80.321,99.4048080444336,49.0732612609863,None,None,2017,CHN
1387790000.0,677689913.0,710100087.0,13.57,7.04,74.582,80.053,97.9619216918945,48.0190200805664,None,None,2016,CHN
1379860000.0,673690703.0,706169297.0,11.99,7.07,74.379,79.772,96.318603515625,46.0404281616211,None,None,2015,CHN
1371860000.0,669700351.0,702159650.0,13.83,7.12,74.134,79.499,95.7964324951172,42.4307289123535,None,None,2014,CHN
1363240000.0,665447390.0,697792609.0,13.03,7.13,73.884,79.223,99.5645980834961,32.4336700439453,None,None,2013,CHN
1354190000.0,661013974.0,693176026.0,14.57,7.13,73.613,78.983,99.7910995483398,28.7256698608398,None,None,2012,CHN
1345035000.0,656550787.0,688484213.0,13.27,7.14,73.368,78.644,99.0470199584961,25.6478500366211,None,None,2011,CHN
1337705000.0,652992671.0,684712330.0,11.9,7.11,73.08,78.326,98.9642181396484,24.1984901428223,None,99.6422882080078,2010,CHN
1331260000.0,649891191.0,681368810.0,11.95,7.08,72.831,78.066,100.006103515625,22.4430599212646,98.2946319580078,None,2009,CHN
1324655000.0,646729218.0,677925783.0,12.14,7.06,72.389,77.562,100.74243927002,20.6841201782227,99.2769393920898,None,2008,CHN
1317885000.0,643486317.0,674398683.0,12.1,6.93,72.248,77.492,100.707046508789,20.52121925354,93.3478927612305,None,2007,CHN
1311020000.0,640203444.0,670816557.0,12.09,6.81,72.043,77.167,100.993278503418,20.2191905975342,91.6324234008789,None,2006,CHN
1303720000.0,636711861.0,667008138.0,12.4,6.51,71.619,76.819,None,19.0869998931885,None,None,2005,CHN
1296075000.0,633047012.0,663027988.0,12.29,6.42,71.275,76.433,None,17.6912593841553,None,None,2004,CHN
1288400000.0,629369651.0,659030348.0,12.41,6.4,70.91,76.044,None,15.4526796340942,None,None,2003,CHN
1280400000.0,625534993.0,654865007.0,12.86,6.41,70.538,75.64,None,12.6284799575806,None,None,2002,CHN
1271850000.0,621436557.0,650413443.0,13.38,6.43,70.162,75.258,112.341590881348,9.78911018371582,None,None,2001,CHN
1262645000.0,617082063.0,645562937.0,14.03,6.45,69.723,74.189,None,7.59041023254395,None,98.8587265014648,2000,CHN
125124989.0,64314912.0,60810077.0,None,None,None,None,None,None,None,None,2022,JPN
125681593.0,64594414.0,61087180.0,6.6,11.7,81.47,87.57,None,None,None,None,2021,JPN
126261000.0,64885399.0,61375600.0,6.8,11.1,81.56,87.71,None,None,None,None,2020,JPN
126633000.0,65065286.0,61567714.0,7.0,11.2,81.41,87.45,97.7888336181641,64.6171188354492,None,None,2019,JPN
126811000.0,65140618.0,61670382.0,7.4,11.0,81.25,87.32,97.5868835449219,64.1038436889648,None,None,2018,JPN
126972000.0,65206949.0,61765051.0,7.6,10.8,81.09,87.26,97.7104873657227,63.8070411682129,None,None,2017,JPN
127076000.0,65245704.0,61830297.0,7.8,10.5,80.98,87.14,98.2427825927734,63.5844383239746,None,None,2016,JPN
127141000.0,65267090.0,61873910.0,8.0,10.3,80.75,86.99,98.8282928466797,63.2509803771973,None,None,2015,JPN
127276000.0,65324683.0,61951317.0,8.0,10.1,80.5,86.83,99.5687026977539,62.9414291381836,None,None,2014,JPN
127445000.0,65398896.0,62046104.0,8.2,10.1,80.21,86.61,100.261131286621,62.1167411804199,None,None,2013,JPN
127629000.0,65480007.0,62148992.0,8.2,10.0,79.94,86.41,None,None,None,None,2012,JPN
127833000.0,65569426.0,62263573.0,8.3,9.9,79.44,85.9,None,None,None,None,2011,JPN
128070000.0,65672237.0,62397763.0,8.5,9.5,79.55,86.3,None,None,None,None,2010,JPN
128047000.0,65637199.0,62409801.0,8.5,9.1,79.59,86.44,None,None,None,None,2009,JPN
128063000.0,65618491.0,62444510.0,8.7,9.1,79.29,86.05,None,None,None,None,2008,JPN
128001000.0,65557955.0,62443045.0,8.6,8.8,79.19,85.99,None,None,None,None,2007,JPN
127854000.0,65451729.0,62402271.0,8.7,8.6,79.0,85.81,None,None,None,None,2006,JPN
127773000.0,65374871.0,62398129.0,8.4,8.6,78.56,85.52,None,None,None,None,2005,JPN
127761000.0,65330634.0,62430367.0,8.8,8.2,78.64,85.59,None,None,None,None,2004,JPN
127718000.0,65270637.0,62447363.0,8.9,8.0,78.36,85.33,None,None,None,None,2003,JPN
127445000.0,65093948.0,62351052.0,9.2,7.8,78.32,85.23,None,None,None,None,2002,JPN
127149000.0,64907199.0,62241801.0,9.3,7.7,78.07,84.93,None,None,None,None,2001,JPN
126843000.0,64716290.0,62126711.0,9.5,7.7,77.72,84.6,None,None,None,None,2000,JPN
38929902.0,19583244.0,19346659.0,None,None,None,None,None,None,None,None,2022,CAN
38226498.0,19230969.0,18995529.0,9.6,7.8,80.621,84.671,None,None,None,None,2021,CAN
38007166.0,19121762.0,18885404.0,9.5,8.1,79.49,83.96,101.848617553711,79.5169219970703,None,None,2020,CAN
37601230.0,18921018.0,18680213.0,9.9,7.6,80.18,84.38,100.989753723145,75.6988220214844,None,None,2019,CAN
37065084.0,18659541.0,18405543.0,10.1,7.7,79.8,83.99,101.501091003418,70.1130218505859,None,None,2018,CAN
36545236.0,18406915.0,18138320.0,10.3,7.5,79.75,84.02,100.94367980957,68.9225082397461,None,None,2017,CAN
36109487.0,18192222.0,17917265.0,10.6,7.4,79.92,84.03,101.023872375488,66.4391784667969,None,None,2016,CAN
35702908.0,17988513.0,17714395.0,10.7,7.4,79.84,83.89,102.485076904297,64.7869567871094,None,None,2015,CAN
35437435.0,17855282.0,17582153.0,10.9,7.3,79.76,83.91,101.536659240723,65.612907409668,None,None,2014,CAN
35082954.0,17680037.0,17402916.0,10.9,7.2,79.74,83.85,100.340713500977,65.3322982788086,None,None,2013,CAN
34714222.0,17500980.0,17213242.0,11.0,7.1,79.61,83.82,99.5182800292969,63.980770111084,None,None,2012,CAN
34339328.0,17318413.0,17020916.0,11.0,7.1,79.39,83.68,98.1893692016602,63.4673194885254,None,None,2011,CAN
34004889.0,17152260.0,16852629.0,11.2,7.0,79.21,83.54,98.6416015625,61.6558494567871,None,None,2010,CAN
33628895.0,16962677.0,16666218.0,11.4,7.1,78.91,83.33,99.0087966918945,63.0657691955566,None,None,2009,CAN
33247118.0,16769997.0,16477121.0,11.5,7.2,78.51,83.05,98.013313293457,63.7673988342285,None,None,2008,CAN
32889025.0,16588348.0,16300676.0,11.3,7.1,78.29,82.91,98.9664764404297,63.6000595092773,None,None,2007,CAN
32571174.0,16427039.0,16144134.0,11.0,7.0,78.29,82.91,98.8806304931641,None,None,None,2006,CAN
32243753.0,16263117.0,15980635.0,10.7,7.1,77.82,82.52,97.3645706176758,None,None,None,2005,CAN
31940655.0,16112389.0,15828266.0,10.6,7.1,77.68,82.42,98.4767990112305,None,None,None,2004,CAN
31644028.0,15963984.0,15680044.0,10.6,7.1,77.32,82.23,None,None,None,None,2003,CAN
31360079.0,15821972.0,15538106.0,10.5,7.1,77.16,82.02,None,59.5465888977051,None,None,2002,CAN
31020902.0,15654835.0,15366067.0,10.8,7.1,76.92,82.0,None,None,None,None,2001,CAN
30685730.0,15492171.0,15193559.0,10.7,7.1,76.64,81.82,100.788772583008,59.1144599914551,97.8178405761719,None,2000,CAN
66971411.0,33876563.0,33094847.0,None,None,None,None,None,None,None,None,2022,GBR
67026300.0,33913563.0,33112737.0,10.1,9.7,78.7,82.8,None,None,None,None,2021,GBR
67081234.0,33948108.0,33133126.0,10.1,10.1,78.4,82.4,99.6551971435547,69.4837265014648,99.4334030151367,None,2020,GBR
66836327.0,33835792.0,33000535.0,10.7,9.0,79.6,83.3,100.49146270752,65.7733612060547,101.594688415527,None,2019,GBR
66460344.0,33662065.0,32798279.0,11.0,9.2,79.5,83.1,100.995552062988,61.3828887939453,100.597457885742,None,2018,GBR
66058859.0,33477363.0,32581496.0,11.4,9.2,79.5,83.1,101.154556274414,59.9955711364746,100.122863769531,None,2017,GBR
65611593.0,33270675.0,32340918.0,11.8,9.1,79.4,83.0,101.33521270752,58.4256210327148,100.882553100586,None,2016,GBR
65116219.0,33041408.0,32074811.0,11.9,9.2,79.2,82.8,101.925270080566,56.4584884643555,102.010498046875,None,2015,GBR
64602298.0,32802913.0,31799385.0,12.0,8.8,79.5,83.2,102.255546569824,56.5644989013672,None,None,2014,GBR
64128273.0,32584323.0,31543950.0,12.1,9.0,79.2,82.9,107.111999511719,57.038761138916,None,None,2013,GBR
63700215.0,32390769.0,31309446.0,12.8,8.9,79.1,82.8,106.246078491211,59.4021186828613,None,None,2012,GBR
63258810.0,32189405.0,31069406.0,12.8,8.7,79.0,83.0,104.425712585449,59.1459312438965,None,None,2011,GBR
62766365.0,31960504.0,30805860.0,12.9,8.9,78.5,82.4,104.554908752441,58.9233512878418,None,None,2010,GBR
62276270.0,31732553.0,30543717.0,12.7,9.0,78.1,82.1,104.259788513184,57.9005317687988,None,None,2009,GBR
61806995.0,31516343.0,30290652.0,12.9,9.4,77.6,81.7,105.061889648438,56.6439094543457,None,None,2008,GBR
61322463.0,31293296.0,30029168.0,12.6,9.4,77.4,81.6,103.240600585938,58.4945106506348,None,None,2007,GBR
60846820.0,31072904.0,29773916.0,12.3,9.4,77.2,81.4,105.068580627441,59.0324401855469,None,None,2006,GBR
60401206.0,30867389.0,29533818.0,12.0,9.6,77.0,81.2,106.386169433594,58.9660987854004,None,None,2005,GBR
59987905.0,30678379.0,29309526.0,11.9,9.7,76.6,81.0,105.935173034668,59.3514518737793,None,None,2004,GBR
59647577.0,30526615.0,29120962.0,11.7,10.2,76.3,80.7,99.9933166503906,62.0685615539551,None,None,2003,GBR
59370479.0,30406325.0,28964154.0,11.3,10.2,75.9,80.5,99.8226318359375,62.568431854248,None,None,2002,GBR
59119673.0,30296779.0,28822894.0,11.3,10.2,75.7,80.4,100.229919433594,59.2684707641602,None,None,2001,GBR
58892514.0,30197282.0,28695232.0,11.5,10.3,75.4,80.2,100.35871887207,58.4740409851074,None,None,2000,GBR
59893885.0,30725879.0,29168006.0,None,None,None,None,None,None,None,None,2022,ZAF
59392255.0,30497646.0,28894608.0,19.821,11.432,59.458,64.999,None,None,None,None,2021,ZAF
58801927.0,30221143.0,28580784.0,20.326,9.425,62.178,67.964,97.4091262817383,24.2362995147705,None,None,2020,ZAF
58087055.0,29879107.0,28207948.0,21.276,8.614,62.834,69.107,98.3744735717773,23.8665599822998,91.9994888305664,98.4095306396484,2019,ZAF
57339635.0,29517286.0,27822349.0,21.137,8.765,62.203,68.74,98.5389022827148,23.8019599914551,90.3444976806641,None,2018,ZAF
56641209.0,29175940.0,27465269.0,20.643,8.802,61.954,68.43,100.864730834961,22.3660297393799,None,95.3238220214844,2017,ZAF
56422274.0,29004108.0,27418165.0,20.25,8.924,61.307,67.794,103.184959411621,20.9184494018555,87.2553329467773,None,2016,ZAF
55876504.0,28721087.0,27155417.0,21.3,9.259,60.709,66.781,105.570388793945,22.260929107666,90.1104888916016,98.9557800292969,2015,ZAF
54729551.0,28228865.0,26500685.0,22.057,9.432,60.062,66.259,102.704963684082,19.8092403411865,None,98.8822784423828,2014,ZAF
53873616.0,27837495.0,26036121.0,22.177,9.77,59.352,65.267,102.670402526855,19.9304904937744,None,None,2013,ZAF
53145033.0,27493643.0,25651390.0,22.353,9.993,58.775,64.449,103.229202270508,19.1436595916748,None,98.8820419311523,2012,ZAF
52443325.0,27164417.0,25278908.0,22.282,10.592,57.731,63.111,103.418388366699,19.6080207824707,None,98.7896575927734,2011,ZAF
51784921.0,26857414.0,24927507.0,22.274,11.257,56.067,61.266,104.729377746582,18.3626308441162,None,98.6441268920898,2010,ZAF
51170779.0,26570865.0,24599914.0,22.664,11.947,54.728,59.722,106.341697692871,None,None,98.3650894165039,2009,ZAF
50565812.0,26287724.0,24278088.0,24.08,12.543,53.488,58.111,107.526397705078,None,None,None,2008,ZAF
49996094.0,26023987.0,23972107.0,22.629,12.973,52.691,56.852,108.024749755859,None,None,97.5707778930664,2007,ZAF
49491756.0,25795511.0,23696246.0,22.455,13.234,52.209,55.892,106.250091552734,None,None,None,2006,ZAF
49017147.0,25583854.0,23433293.0,21.913,13.177,52.064,55.431,105.948272705078,None,None,None,2005,ZAF
48556071.0,25379489.0,23176582.0,21.261,12.947,51.891,55.721,106.446632385254,None,95.6549224853516,None,2004,ZAF
48104048.0,25178665.0,22925383.0,20.473,12.657,51.97,56.232,105.426368713379,None,90.579948425293,None,2003,ZAF
47661514.0,24979734.0,22681781.0,20.04,11.784,53.191,57.668,103.968452453613,None,86.3408279418945,None,2002,ZAF
47229714.0,24781908.0,22447806.0,20.392,10.871,54.565,59.47,101.990463256836,None,None,None,2001,ZAF
46813266.0,24591889.0,22221377.0,20.705,10.174,55.397,61.049,101.489212036133,None,81.0422515869141,None,2000,ZAF
