Dấu thời gian,Bạn bao nhiêu tuổi?,Hiện tại bạn đang cư trú ở đâu?,Bạn đã sử dụng sữa rửa mặt bao giờ chưa?,Nguyên nhân bạn chưa sử dụng sữa rửa mặt là gì?,Giới tính của bạn là?,1. Bạn sử dụng sữa rửa mặt với mục đích gì?,2. Da của bạn thuộc loại da gì?,3. Bạn thường sử dụng sữa rửa mặt bao nhiêu lần một ngày?,4. Bạn sử dụng sữa rửa mặt khi nào?,5. Bạn thường mua sữa rửa mặt ở đâu?,6. Bạn tiếp cận thông tin về sữa rửa mặt qua đâu?,7. Bạn đang sử dụng sữa rửa mặt chiết xuất từ đâu?,8. Dạng sữa rửa mặt bạn đang sử dụng là gì?,9. Bạn có thích sữa rửa mặt có mùi hương không?,9.1. Bạn yêu thích sữa rửa mặt có hương liệu trái cây nào nhất?,9.2. Bạn yêu thích sửa rửa mặt có hương liệu rau củ nào nhất?,9.3. Bạn yêu thích sửa rửa mặt có hương liệu hoa cỏ nào nhất?,10. Bạn thường mua sản phẩm với dung tích bao nhiêu?,11. Số lượng sản phẩm mua trong một lần của bạn,12. Bạn chấp nhận chi bao nhiêu cho 1 sản phẩm sữa rửa mặt với dung tích 150 ml?,13. Yếu tố quan trọng nhất ảnh hưởng đến việc lựa chọn loại sữa rửa mặt của bạn? ,14. Bạn thường lựa chọn sử dụng sữa rửa mặt thông qua đâu nhất?,15. Bạn hay sử dụng sữa rửa mặt của nước nào? ,16. Bạn thường mua sữa rửa mặt qua kênh online nào?,17. Bạn thường mua sữa rửa mặt qua kênh offline nào?,18. Bạn quan tâm nhất đến những yếu tố nào của nơi bán trực tiếp khi mua sữa rửa mặt? ,19. Bạn quan tâm nhất đến những yếu tố nào của nơi bán online khi mua sữa rửa mặt?,20. Bạn lo ngại điều gì khi sử dụng sữa rửa mặt? ,"21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
b, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Chất lượng]","21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
Thang đo: 1: Rất không ảnh hưởng, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Thương hiệu]","21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
Thang đo: 1: Rất không ảnh hưởng, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Giá cả]","21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
Thang đo: 1: Rất không ảnh hưởng, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Mẫu mã]","21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
Thang đo: 1: Rất không ảnh hưởng, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Xuất xứ]","21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
Thang đo: 1: Rất không ảnh hưởng, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Thành phần]","21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
Thang đo: 1: Rất không ảnh hưởng, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Mùi hương]","22. Nếu chúng tôi ra mắt một sản phẩm sữa rửa mặt mới, bạn có sẵn sàng dùng thử hay không?",23. Bạn mong muốn điều gì nhất ở một sản phẩm sữa rửa mặt mới? 
04/02/2023 22:48:26,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da khô,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Nhà thuốc","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Gia đình; người thân",Chiết xuất từ thiên nhiên,Dạng gel,Không,,,,Trên 300 ml - 500 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,"Review từ KOL, beauty blogger, người nổi tiếng",Pháp,Sàn thương mại điện tử,Siêu thị,Uy tín của cửa hàng,Đánh giá từ những người đã mua,"Hàng giả; hàng nhái",7.0,6.0,5.0,4.0,5.0,7.0,4.0,Chưa biết,Sản phẩm chuyên sâu với hiệu quả cao
04/02/2023 23:15:53,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nam,"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...",Da lành tính,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Các cửa hàng mỹ phẩm, Cửa hàng tiện lợi","Tự tìm hiểu, Bạn bè",Chiết xuất từ thiên nhiên,Dạng bọt,Có,Táo,Thảo mộc,Trà xanh,Trên 300 ml - 500 ml,Từ 1-2 sản phẩm/1 lần mua,Dưới 100.000 vnđ/150 ml,Xuất xứ,Review từ người quen,"Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,"Cửa hàng chính hãng, Tạp hoá",Giá cả,Đánh giá từ những người đã mua,Sản phẩm không có nguồn gốc rõ ràng,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Chưa biết,Sản phẩm lành tính với nhiều loại da
05/02/2023 6:43:44,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da dầu,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Nhân viên tiếp thị, Gia đình; người thân",Chiết xuất từ thiên nhiên,Dạng gel,Có,"Đào, Cam, Chanh","Dưa leo, Nha đam, Rau má","Lavender, Hoa hồng, Trà xanh",Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Dưới 100.000 vnđ/150 ml,Thành phần,Review từ người quen,Nhật Bản,"Website của hãng, Sàn thương mại điện tử","Siêu thị, Các cửa hàng mỹ phẩm",Uy tín của cửa hàng,Đánh giá từ những người đã mua,"Tác dụng phụ; gây kích ứng; bong tróc da, Không có hiệu quả hoặc hiệu quả kém",7.0,7.0,5.0,1.0,7.0,7.0,6.0,Chưa biết,Sản phẩm chuyên sâu với hiệu quả cao
05/02/2023 8:26:05,Từ 18 - 25 tuổi,TP.HCM,Chưa từng,Chưa có nhu cầu sử dụng sữa rửa mặt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/02/2023 8:54:36,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da hỗn hợp,Hơn 2 lần/ngày,"Sau khi thức dậy, Trước khi make-up, Sau khi về nhà","Siêu thị; trung tâm thương mại",Tự tìm hiểu,Chiết xuất từ thiên nhiên,Dạng bọt,Không,,,,Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,"Review từ KOL, beauty blogger, người nổi tiếng","Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm",Thái độ nhân viên bán hàng,"Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da",7.0,7.0,4.0,7.0,6.0,6.0,3.0,Chưa biết,Sản phẩm lành tính với nhiều loại da
05/02/2023 8:57:29,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nam,"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da khô,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Chiết xuất từ thiên nhiên,Dạng gel,Có,"Cam, Chanh","Thảo mộc, Nha đam, Rau má","Lavender, Trà xanh",Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,"Review từ KOL, beauty blogger, người nổi tiếng","Mỹ, Việt Nam","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị",Uy tín của cửa hàng,Đánh giá từ những người đã mua,"Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da",7.0,7.0,5.0,4.0,6.0,7.0,5.0,Chưa biết,Sản phẩm chuyên sâu với hiệu quả cao
05/02/2023 9:24:01,Từ 18 - 25 tuổi,Khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/02/2023 9:30:59,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...",Da hỗn hợp,2 lần/ngày,"Sau khi thức dậy, Trước khi ra đường, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Chiết xuất từ thiên nhiên,Dạng gel,Có,"Táo, Đào, Chanh","Thảo mộc, Rau má","Lavender, Hoa cúc",Trên 150 ml - 300 ml,Từ 3-5 sản phẩm/1 lần mua,Trên 500.000 vnđ/150 ml,Xuất xứ,"Review từ KOL, beauty blogger, người nổi tiếng","Hàn Quốc, Pháp","Sàn thương mại điện tử, Các trang mạng xã hội",Các cửa hàng mỹ phẩm,Uy tín của cửa hàng,"Chính sách khuyến mãi, ưu đãi","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da",4.0,3.0,4.0,3.0,5.0,4.0,3.0,Chưa biết,Sản phẩm chuyên sâu với hiệu quả cao
05/02/2023 9:37:29,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da dầu,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại, Cửa hàng tiện lợi","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Chiết xuất từ các hoạt chất hóa học,Dạng bọt,Có,"Cherry, Việt quất, Đào","Dưa leo, Nha đam, Rau má","Hoa hồng, Anh đào",Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Giá cả,"Review từ KOL, beauty blogger, người nổi tiếng","Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,Siêu thị,Uy tín của cửa hàng,"Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng",7.0,5.0,6.0,4.0,4.0,5.0,6.0,Chưa biết,Sản phẩm chuyên sâu với hiệu quả cao
05/02/2023 9:41:30,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm",Da lành tính,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Chiết xuất từ các hoạt chất hóa học,Dạng gel,Không,,,,Trên 300 ml - 500 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 200.000 vnđ - 500.000 vnđ/ 150 ml,Thành phần,Review từ người quen,Nhật Bản,Sàn thương mại điện tử,Siêu thị,Giá cả,Đánh giá từ những người đã mua,"Hàng giả; hàng nhái",7.0,3.0,6.0,7.0,2.0,7.0,6.0,Có,Sản phẩm chuyên sâu với hiệu quả cao
